,ellipse,diameter,location,confidence,timestamp
0,"{'center': (0.0, 0.0), 'axes': (0.0, 0.0), 'angle': -90.0}",0.0,"(0.0, 0.0)",0.0,0.0
1,"{'center': (0.0, 0.0), 'axes': (0.0, 0.0), 'angle': -90.0}",0.0,"(0.0, 0.0)",0.0,0.016666666666666666
2,"{'center': (0.0, 0.0), 'axes': (0.0, 0.0), 'angle': -90.0}",0.0,"(0.0, 0.0)",0.0,0.03333333333333333
3,"{'center': (0.0, 0.0), 'axes': (0.0, 0.0), 'angle': -90.0}",0.0,"(0.0, 0.0)",0.0,0.05
4,"{'center': (0.0, 0.0), 'axes': (0.0, 0.0), 'angle': -90.0}",0.0,"(0.0, 0.0)",0.0,0.06666666666666667
5,"{'center': (0.0, 0.0), 'axes': (0.0, 0.0), 'angle': -90.0}",0.0,"(0.0, 0.0)",0.0,0.08333333333333333
6,"{'center': (0.0, 0.0), 'axes': (0.0, 0.0), 'angle': -90.0}",0.0,"(0.0, 0.0)",0.0,0.1
7,"{'center': (0.0, 0.0), 'axes': (0.0, 0.0), 'angle': -90.0}",0.0,"(0.0, 0.0)",0.0,0.11666666666666667
8,"{'center': (0.0, 0.0), 'axes': (0.0, 0.0), 'angle': -90.0}",0.0,"(0.0, 0.0)",0.0,0.13333333333333333
9,"{'center': (0.0, 0.0), 'axes': (0.0, 0.0), 'angle': -90.0}",0.0,"(0.0, 0.0)",0.0,0.15
10,"{'center': (0.0, 0.0), 'axes': (0.0, 0.0), 'angle': -90.0}",0.0,"(0.0, 0.0)",0.0,0.16666666666666666
11,"{'center': (0.0, 0.0), 'axes': (0.0, 0.0), 'angle': -90.0}",0.0,"(0.0, 0.0)",0.0,0.18333333333333332
12,"{'center': (0.0, 0.0), 'axes': (0.0, 0.0), 'angle': -90.0}",0.0,"(0.0, 0.0)",0.0,0.2
13,"{'center': (0.0, 0.0), 'axes': (0.0, 0.0), 'angle': -90.0}",0.0,"(0.0, 0.0)",0.0,0.21666666666666667
14,"{'center': (0.0, 0.0), 'axes': (0.0, 0.0), 'angle': -90.0}",0.0,"(0.0, 0.0)",0.0,0.23333333333333334
15,"{'center': (0.0, 0.0), 'axes': (0.0, 0.0), 'angle': -90.0}",0.0,"(0.0, 0.0)",0.0,0.25
16,"{'center': (0.0, 0.0), 'axes': (0.0, 0.0), 'angle': -90.0}",0.0,"(0.0, 0.0)",0.0,0.26666666666666666
17,"{'center': (0.0, 0.0), 'axes': (0.0, 0.0), 'angle': -90.0}",0.0,"(0.0, 0.0)",0.0,0.2833333333333333
18,"{'center': (0.0, 0.0), 'axes': (0.0, 0.0), 'angle': -90.0}",0.0,"(0.0, 0.0)",0.0,0.3
19,"{'center': (0.0, 0.0), 'axes': (0.0, 0.0), 'angle': -90.0}",0.0,"(0.0, 0.0)",0.0,0.31666666666666665
20,"{'center': (0.0, 0.0), 'axes': (0.0, 0.0), 'angle': -90.0}",0.0,"(0.0, 0.0)",0.0,0.3333333333333333
21,"{'center': (0.0, 0.0), 'axes': (0.0, 0.0), 'angle': -90.0}",0.0,"(0.0, 0.0)",0.0,0.35
22,"{'center': (0.0, 0.0), 'axes': (0.0, 0.0), 'angle': -90.0}",0.0,"(0.0, 0.0)",0.0,0.36666666666666664
23,"{'center': (0.0, 0.0), 'axes': (0.0, 0.0), 'angle': -90.0}",0.0,"(0.0, 0.0)",0.0,0.38333333333333336
24,"{'center': (0.0, 0.0), 'axes': (0.0, 0.0), 'angle': -90.0}",0.0,"(0.0, 0.0)",0.0,0.4
25,"{'center': (0.0, 0.0), 'axes': (0.0, 0.0), 'angle': -90.0}",0.0,"(0.0, 0.0)",0.0,0.4166666666666667
26,"{'center': (0.0, 0.0), 'axes': (0.0, 0.0), 'angle': -90.0}",0.0,"(0.0, 0.0)",0.0,0.43333333333333335
27,"{'center': (0.0, 0.0), 'axes': (0.0, 0.0), 'angle': -90.0}",0.0,"(0.0, 0.0)",0.0,0.45
28,"{'center': (0.0, 0.0), 'axes': (0.0, 0.0), 'angle': -90.0}",0.0,"(0.0, 0.0)",0.0,0.4666666666666667
29,"{'center': (0.0, 0.0), 'axes': (0.0, 0.0), 'angle': -90.0}",0.0,"(0.0, 0.0)",0.0,0.48333333333333334
30,"{'center': (0.0, 0.0), 'axes': (0.0, 0.0), 'angle': -90.0}",0.0,"(0.0, 0.0)",0.0,0.5
31,"{'center': (0.0, 0.0), 'axes': (0.0, 0.0), 'angle': -90.0}",0.0,"(0.0, 0.0)",0.0,0.5166666666666667
32,"{'center': (0.0, 0.0), 'axes': (0.0, 0.0), 'angle': -90.0}",0.0,"(0.0, 0.0)",0.0,0.5333333333333333
